"","Date","Team","Goals","Assists","Points","Plusminus","PIM","PPG","PPP","SHG","SHP","GWG","OTG","Shots","TOI","Shifts","Year","season","Home","toi2","toi3","toi_seconds","opponent","opp_2","season2","opp_int","opp_int2"
"1","09-Apr","@ VAN",0,0,0,-1,0,0,0,0,0,0,0,0,"21:45",21,2016,"1516",0,"00:21:45",00:21:45,1305,"VAN","VAN","1","1","1"
"2","06-Apr","vs VAN",1,2,3,1,2,1,2,0,0,1,0,5,"18:00",20,2016,"1516",1,"00:18:00",00:18:00,1080,"VAN","VAN","1","1","1"
"3","02-Apr","vs CGY",0,0,0,-2,0,0,0,0,0,0,0,2,"20:20",22,2016,"1516",1,"00:20:20",00:20:20,1220,"CGY","CGY","1","2","2"
"4","28-Mar","vs ANA",0,0,0,0,2,0,0,0,0,0,0,2,"21:32",24,2016,"1516",1,"00:21:32",00:21:32,1292,"ANA","OTHER","1","3","5"
"5","26-Mar","@ LAK",1,1,2,1,0,0,0,0,0,0,0,2,"20:53",23,2016,"1516",0,"00:20:53",00:20:53,1253,"LAK","OTHER","1","4","5"
"6","24-Mar","@ SJS",0,1,1,3,0,0,0,0,0,0,0,2,"20:27",26,2016,"1516",0,"00:20:27",00:20:27,1227,"SJS","OTHER","1","5","5"
"7","22-Mar","@ ARI",0,2,2,-2,2,0,2,0,0,0,0,5,"18:49",25,2016,"1516",0,"00:18:49",00:18:49,1129,"ARI","OTHER","1","6","5"
"8","20-Mar","vs COL",0,1,1,1,2,0,0,0,0,0,0,2,"20:54",21,2016,"1516",1,"00:20:54",00:20:54,1254,"COL","OTHER","1","7","5"
"9","18-Mar","vs VAN",0,1,1,1,0,0,0,0,0,0,0,2,"16:18",20,2016,"1516",1,"00:16:18",00:16:18,978,"VAN","VAN","1","1","1"
"10","16-Mar","vs STL",0,2,2,0,0,0,2,0,0,0,0,4,"21:19",23,2016,"1516",1,"00:21:19",00:21:19,1279,"STL","OTHER","1","8","5"
"11","14-Mar","vs NSH",0,1,1,0,0,0,0,0,0,0,0,1,"23:22",23,2016,"1516",1,"00:23:22",00:23:22,1402,"NSH","OTHER","1","9","5"
"12","12-Mar","vs ARI",0,0,0,-2,0,0,0,0,0,0,0,5,"19:25",25,2016,"1516",1,"00:19:25",00:19:25,1165,"ARI","OTHER","1","6","5"
"13","10-Mar","@ MIN",1,0,1,1,0,0,0,0,0,1,0,2,"20:59",22,2016,"1516",0,"00:20:59",00:20:59,1259,"MIN","OTHER","1","10","5"
"14","08-Mar","vs SJS",0,0,0,0,0,0,0,0,0,0,0,2,"20:44",23,2016,"1516",1,"00:20:44",00:20:44,1244,"SJS","OTHER","1","5","5"
"15","06-Mar","@ WPG",0,0,0,0,0,0,0,0,0,0,0,5,"20:23",23,2016,"1516",0,"00:20:23",00:20:23,1223,"WPG","WPG","1","11","3"
"16","04-Mar","@ CBJ",1,1,2,0,0,0,1,0,0,0,0,2,"18:19",21,2016,"1516",0,"00:18:19",00:18:19,1099,"CBJ","OTHER","1","12","5"
"17","03-Mar","@ PHI",0,1,1,1,0,0,0,0,0,0,0,2,"18:19",24,2016,"1516",0,"00:18:19",00:18:19,1099,"PHI","OTHER","1","13","5"
"18","01-Mar","@ BUF",2,0,2,1,0,0,0,0,0,1,1,5,"22:23",25,2016,"1516",0,"00:22:23",00:22:23,1343,"BUF","OTHER","1","14","5"
