"","Date","Vs","Opponent"
"1","Wed, Oct 13","vs","Vancouver"
"3","Sat, Oct 16","vs","Calgary"
"5","Tue, Oct 19","vs","Anaheim"
"7","Thu, Oct 21","@","Arizona"
"9","Fri, Oct 22","@","Vegas"
"11","Wed, Oct 27","vs","Philadelphia"
"13","Sat, Oct 30","@","Vancouver"
"15","Mon, Nov 1","vs","Seattle"
"17","Wed, Nov 3","vs","Nashville"
"19","Fri, Nov 5","vs","New York Rangers"
"21","Tue, Nov 9","@","Detroit"
"23","Thu, Nov 11","@","Boston"
"25","Fri, Nov 12","@","Buffalo"
"27","Sun, Nov 14","@","St. Louis"
"29","Tue, Nov 16","@","Winnipeg"
"31","Thu, Nov 18","vs","Winnipeg"
"33","Sat, Nov 20","vs","Chicago"
"35","Tue, Nov 23","@","Dallas"
"37","Wed, Nov 24","@","Arizona"
"39","Sat, Nov 27","@","Vegas"
"41","Wed, Dec 1","vs","Pittsburgh"
"43","Fri, Dec 3","@","Seattle"
"45","Sun, Dec 5","vs","Los Angeles"
"47","Tue, Dec 7","vs","Minnesota"
"49","Thu, Dec 9","vs","Boston"
"51","Sat, Dec 11","vs","Carolina"
"53","Tue, Dec 14","vs","Toronto"
"55","Thu, Dec 16","vs","Columbus"
"57","Sat, Dec 18","@","Seattle"
"59","Mon, Dec 20","vs","Anaheim"
"61","Wed, Dec 22","@","Los Angeles"
"63","Thu, Dec 23","@","San Jose"
"65","Mon, Dec 27","@","Calgary"
"67","Wed, Dec 29","@","St. Louis"
"69","Fri, Dec 31","@","New Jersey"
"71","Sat, Jan 1","@","New York Islanders"
"73","Mon, Jan 3","@","New York Rangers"
"75","Wed, Jan 5","@","Toronto"
"77","Sat, Jan 8","vs","New York Islanders"
"79","Mon, Jan 10","vs","Ottawa"
"81","Wed, Jan 12","vs","Minnesota"
"83","Fri, Jan 14","vs","Vegas"
"85","Sun, Jan 16","@","Winnipeg"
"87","Tue, Jan 18","vs","Chicago"
"89","Thu, Jan 20","vs","Florida"
"91","Sat, Jan 22","vs","Calgary"
"93","Tue, Jan 25","@","Vancouver"
"95","Thu, Jan 27","vs","Nashville"
"97","Sat, Jan 29","@","Montreal"
"99","Mon, Jan 31","@","Ottawa"
"101","Wed, Feb 2","@","Washington"
"103","Wed, Feb 23","@","Tampa Bay"
"105","Sat, Feb 26","@","Florida"
"107","Sun, Feb 27","@","Carolina"
"109","Tue, Mar 1","@","Philadelphia"
"111","Thu, Mar 3","@","Chicago"
"113","Sat, Mar 5","vs","Montreal"
"115","Wed, Mar 9","vs","Washington"
"117","Sat, Mar 12","vs","Tampa Bay"
"119","Tue, Mar 15","vs","Detroit"
"121","Thu, Mar 17","vs","Buffalo"
"123","Sat, Mar 19","vs","New Jersey"
"125","Mon, Mar 21","@","Colorado"
"127","Tue, Mar 22","@","Dallas"
"129","Thu, Mar 24","vs","San Jose"
"131","Sat, Mar 26","@","Calgary"
"133","Mon, Mar 28","vs","Arizona"
"135","Wed, Mar 30","vs","Los Angeles"
"137","Fri, Apr 1","vs","St. Louis"
"139","Sun, Apr 3","@","Anaheim"
"141","Tue, Apr 5","@","San Jose"
"143","Thu, Apr 7","@","Los Angeles"
"145","Sat, Apr 9","vs","Colorado"
"147","Tue, Apr 12","@","Minnesota"
"149","Thu, Apr 14","@","Nashville"
"151","Sat, Apr 16","vs","Vegas"
"153","Wed, Apr 20","vs","Dallas"
"155","Fri, Apr 22","vs","Colorado"
"157","Sun, Apr 24","@","Columbus"
"159","Tue, Apr 26","@","Pittsburgh"
"161","Thu, Apr 28","vs","San Jose"
"163","Fri, Apr 29","vs","Vancouver"
